sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
mmol/L,mmol/L,,,,,,1.0,APPROVED,,0,8753,,,,,
mmol/mol,Hbmmol/mol,,,,,,1.0,APPROVED,,0,8753,,,,,
MMOL/L,mmol/L,,,,,,1.0,APPROVED,,0,8753,,,,,
umol/L,umol/L,,,,,,1.0,APPROVED,,0,8749,,,,,
umol/l,umol/L,,,,,,1.0,APPROVED,,0,8749,,,,,
Mmol/mol,mmol/L,,,,,,1.0,APPROVED,,0,8753,,,,,
nmol/l,nmol/L,,,,,,1.0,APPROVED,,0,8736,,,,,
%Hb,%,,,,,,1.0,APPROVED,,0,8554,,,,,
per cent,%,,,,,,1.0,APPROVED,,0,8554,,,,,
%,%,,,,,,1.0,APPROVED,,0,8554,,,,,
Ratio,ratio,,,,,,1.0,APPROVED,,0,8523,,,,,
% total Hb,%,,,,,,1.0,APPROVED,,0,8554,,,,,
%total Hb,%,,,,,,1.0,APPROVED,,0,8554,,,,,
µmol/L,umol/L,,,,,,1.0,APPROVED,,0,8749,,,,,
u/l,U/L,,,,,,1.0,APPROVED,,0,8645,,,,,
U/L,U/L,,,,,,1.0,APPROVED,,0,8645,,,,,
IU/L,U/L,,,,,,1.0,APPROVED,,0,8645,,,,,
iu/l,U/L,,,,,,1.0,APPROVED,,0,8645,,,,,
No UOM assigned,,,,,,,1.0,UNCHECKED,,0,0,,,,,
Unknown,,,,,,,1.0,APPROVED,,0,4129922,,,,,
mm/hr,millimeter per hour,,,,,,1.0,APPROVED,,0,8752,,,,,
pg,pg,,,,,,1.0,APPROVED,,0,8564,,,,,
