sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
ng/mL,ng/mL,16,,0.32332539558410645,APPROVED,8842,nanogram per milliliter,UCUM,Unit,S,0,0,Unit,ng/mL,19700101,20991231,
-9000099,-9000099,558,,0.6720747351646423,UNCHECKED,35627087,0099,SNOMED,Observation,S,0,1,Qualifier Value,8952201000001100,20180731,20991231,
pmol/L,pmol/L,15,,0.5671860575675964,APPROVED,8729,picomole per liter,UCUM,Unit,S,0,0,Unit,pmol/L,19700101,20991231,
ug/L,ug/L,9,,0.4198068678379059,APPROVED,8748,microgram per liter,UCUM,Unit,S,0,0,Unit,ug/L,19700101,20991231,
-9000004,-9000004,36,,0.5351148247718811,UNCHECKED,37116251,9000000,SNOMED,Observation,S,0,1,Qualifier Value,732902007,20170731,20991231,
kg,kg,15,,0.5489564538002014,APPROVED,9529,kilogram,UCUM,Unit,S,0,0,Unit,kg,19700101,20991231,
mmol/L,mmol/L,383,,0.6982107758522034,APPROVED,8753,millimole per liter,UCUM,Unit,S,0,0,Unit,mmol/L,19700101,20991231,
IU,IU,8,,0.4208752512931824,APPROVED,8718,international unit,UCUM,Unit,S,0,0,Unit,[iU],19700101,20991231,
10 9/L,10 9/L,21,,0.3839424252510071,APPROVED,9444,billion per liter,UCUM,Unit,S,0,0,Unit,10*9/L,19700101,20991231,
pg/mL,pg/mL,8,,0.48374733328819275,APPROVED,8845,picogram per milliliter,UCUM,Unit,S,0,0,Unit,pg/mL,19700101,20991231,
1/1,1/1,21,,0.46151480078697205,UNCHECKED,0,Unmapped,,,,0,0,,,,,
beats/min,beats/min,15,,0.45705631375312805,UNCHECKED,8483,counts per minute,UCUM,Unit,S,0,0,Unit,{counts}/min,19700101,20991231,
